# resolution_mm=5
# Bone interior particle positions [mm]  (stl=Sawbone.STL, count=3416)
# x_mm,y_mm,z_mm
5.158855,5.119139,15.076196
5.158763,5.119053,20.076243
5.158744,5.119044,25.076332
5.158771,5.119017,30.076202
5.158773,10.119103,10.076275
5.158773,10.119147,15.076207
5.158728,10.119167,20.076201
5.158909,10.119141,25.076239
5.158768,10.119091,30.076207
5.158781,10.119043,35.076172
5.158804,15.119014,10.076197
5.158799,15.119053,15.076206
5.158809,15.119077,20.076207
5.158774,15.119033,25.076288
5.158806,15.119112,30.076283
5.158891,15.119075,35.076280
5.158778,15.119064,40.076249
5.158783,20.119155,10.076301
5.158736,20.119140,15.076328
5.158917,20.119073,20.076176
5.158790,20.119122,25.076277
5.158724,20.119011,30.076256
5.158894,20.119019,35.076334
5.158825,20.119182,40.076240
5.158825,25.119133,10.076329
5.158766,25.119017,15.076301
5.158877,25.119109,20.076330
5.158790,25.119148,25.076274
5.158783,25.119139,30.076193
5.158817,25.119144,35.076312
5.158742,25.119154,40.076190
5.158881,30.119014,10.076186
5.158814,30.119160,15.076303
5.158847,30.119165,20.076211
5.158828,30.119089,25.076331
5.158911,30.119170,30.076281
5.158902,30.119027,35.076284
5.158897,30.119135,40.076288
5.158863,35.119108,15.076318
5.158914,35.119006,20.076321
5.158805,35.119142,25.076212
5.158764,35.119160,30.076321
5.158851,35.119014,35.076256
10.158751,5.119186,10.076274
10.158889,5.119129,15.076178
10.158821,5.119049,20.076222
10.158895,5.119183,25.076299
10.158865,5.119034,30.076309
10.158842,5.119146,35.076216
10.158719,10.119139,5.076274
10.158856,10.119197,10.076267
10.158723,10.119112,15.076221
10.158818,10.119191,20.076316
10.158744,10.119144,25.076340
10.158722,10.119135,30.076178
10.158834,10.119055,35.076325
10.158796,10.119111,40.076229
10.158722,15.119105,5.076341
10.158867,15.119023,10.076325
10.158878,15.119063,15.076335
10.158793,15.119027,20.076272
10.158816,15.119110,25.076248
10.158745,15.119056,30.076353
10.158875,15.119080,35.076211
10.158749,15.119088,40.076177
10.158872,15.119181,45.076222
10.158741,20.119028,5.076199
10.158745,20.119081,10.076287
10.158775,20.119012,15.076209
10.158821,20.119157,20.076352
10.158832,20.119128,25.076231
10.158829,20.119073,30.076288
10.158718,20.119130,35.076255
10.158909,20.119168,40.076260
10.158767,20.119188,45.076356
10.158879,25.119093,5.076317
10.158861,25.119010,10.076313
10.158765,25.119135,15.076227
10.158842,25.119204,20.076215
10.158815,25.119157,25.076241
10.158858,25.119185,30.076276
10.158890,25.119179,35.076292
10.158878,25.119029,40.076233
10.158881,25.119089,45.076317
10.158910,30.119161,5.076302
10.158758,30.119008,10.076271
10.158739,30.119135,15.076359
10.158878,30.119180,20.076261
10.158763,30.119013,25.076229
10.158913,30.119049,30.076367
10.158899,30.119114,35.076215
10.158855,30.119098,40.076224
10.158888,30.119098,45.076324
10.158783,35.119061,10.076314
10.158869,35.119036,15.076353
10.158750,35.119018,20.076270
10.158850,35.119019,25.076180
10.158752,35.119152,30.076297
10.158886,35.119058,35.076177
10.158746,35.119107,40.076212
10.158856,35.119167,45.076368
10.158736,40.119065,20.076343
10.158743,40.119110,25.076221
10.158841,40.119159,30.076267
10.158865,40.119178,35.076223
10.158806,40.119121,40.076228
10.158790,45.119153,30.076362
15.158840,5.119200,5.076210
15.158842,5.119136,10.076353
15.158757,5.119145,15.076325
15.158917,5.119010,20.076222
15.158903,5.119104,25.076291
15.158895,5.119029,30.076365
15.158817,5.119086,35.076319
